2013-08-21 12:15:25,543 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.pivotal.don.xd:build:0.0.1-SNAPSHOT @ /home/hadoop/data/workspace/phxd/build/pom.xml.
2013-08-21 12:15:26,632 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.pivotal.don.xd:build:0.0.1-SNAPSHOT @ /home/hadoop/data/workspace/phxd/build/pom.xml.
2013-08-21 15:29:41,592 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.pivotal.don.xd:batchsrv:0.0.1-SNAPSHOT @ /home/hadoop/data/workspace/phxd/batchsrv/pom.xml.
2013-08-21 15:29:42,098 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /batchsrv/src/main/java
2013-08-21 15:29:42,099 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /batchsrv/src/main/resources
2013-08-21 15:29:42,100 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /batchsrv/src/test/java
2013-08-21 15:29:42,100 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /batchsrv/src/test/resources
2013-08-21 15:29:42,815 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.pivotal.don.xd:batchsrv:0.0.1-SNAPSHOT @ /home/hadoop/data/workspace/phxd/batchsrv/pom.xml.
2013-08-21 15:29:42,983 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-21 15:29:42,988 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-21 15:29:42,991 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-21 15:29:42,992 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-21 15:29:43,315 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.pivotal.don.xd:batchsrv:0.0.1-SNAPSHOT @ /home/hadoop/data/workspace/phxd/batchsrv/pom.xml.
2013-08-21 15:29:44,146 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-21 15:29:44,149 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-21 15:29:44,152 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-21 15:29:44,152 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-21 15:32:49,331 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-21 15:32:49,332 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-21 15:32:49,334 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-21 15:32:49,335 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-21 15:33:45,942 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-21 15:33:45,943 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-21 15:33:45,944 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-21 15:33:45,944 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-21 15:35:04,049 [Worker-13] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2013-08-21 15:35:05,951 [New I/O client worker #1-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-war-plugin/2.1.1/maven-war-plugin-2.1.1.jar
2013-08-21 15:35:06,045 [New I/O client worker #1-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-war-plugin/2.1.1/maven-war-plugin-2.1.1.jar
2013-08-21 15:35:07,006 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.pivotal.don.xd:webclient:0.0.1-SNAPSHOT @ /home/hadoop/data/workspace/phxd/webclient/pom.xml.
2013-08-21 15:35:07,098 [Worker-13] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
